EPS,SEDE,TIPOINTERRUPCION,TIPOSERVICIO,MOTIVOINTERRUPCION,FECHAINICIO,HORAINICIO,FECHAFIN,HORAFIN,DEPARTAMENTO,PROVINCIA,DISTRITO,NUMCONEXDOM,UNIDADESUSO,NUMCAMIONESPUNTOS,Cluster
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-12 23:20:00,23:20,2024-03-13 07:00:00,07:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,6015.0,9074.0,0.0,1
EMUSAP ABANCAY,EMUSAP ABANCAY,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-12 14:30:00,14:30,2024-03-12 15:35:00,15:35,APURIMAC,ABANCAY,ABANCAY,300.0,300.0,0.0,1
EMUSAP ABANCAY,EMUSAP ABANCAY,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-12 10:00:00,10:00,2024-03-12 12:05:00,12:05,APURIMAC,ABANCAY,ABANCAY,10000.0,10000.0,0.0,1
EPSEL,EPSEL,IMPREVISTA,ALCANTARILLADO,ROTURA DE TUBERÍA POR TERCERO,2024-03-13 06:00:00,06:00,2024-03-13 17:00:00,17:00,LAMBAYEQUE,CHICLAYO,SAÑA,1378.0,1378.0,0.0,1
SEDAPAL ,Equipo de Distribución Primaria,PROGRAMADA,AGUA POTABLE,OTROS,2024-03-20 10:00:00,10:00,2024-03-21 04:00:00,04:00,LIMA,LIMA,SAN MIGUEL,21739.0,61871.0,2.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-12 17:50:00,17:50,2024-03-12 21:20:00,21:20,AREQUIPA,AREQUIPA,JACOBO HUNTER,90.0,90.0,0.0,1
SEDAPAL ,COMAS,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-03-19 12:00:00,12:00,2024-03-19 20:00:00,20:00,LIMA,LIMA,SAN MARTIN DE PORRES,4130.0,8811.0,0.0,1
EPS MOYOBAMBA,MOYOBAMBA,PROGRAMADA,AGUA POTABLE,OTROS,2024-03-14 08:00:00,08:00,2024-03-14 15:30:00,15:30,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2582.0,2600.0,1.0,1
SEDA HUANUCO,HUANUCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-12 15:00:00,15:00,2024-03-12 22:00:00,22:00,HUANUCO,HUANUCO,AMARILIS,500.0,500.0,0.0,1
SEDAPAL ,SURQUILLO,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-03-20 12:00:00,12:00,2024-03-20 23:00:00,23:00,LIMA,LIMA,SANTIAGO DE SURCO,452.0,1085.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-12 12:00:00,12:00,2024-03-12 22:00:00,22:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,4234.0,6189.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-12 14:10:00,14:10,2024-03-12 20:10:00,20:10,LIMA,LIMA,SANTIAGO DE SURCO,956.0,1498.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-12 14:00:00,14:00,2024-03-12 20:00:00,20:00,LIMA,LIMA,SANTIAGO DE SURCO,1262.0,2406.0,0.0,1
EPS EMAPAT,EMAPAT,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-03-19 14:00:00,14:00,2024-03-19 16:00:00,16:00,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,185.0,185.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-03-12 12:00:00,12:00,2024-03-12 18:00:00,18:00,LIMA,LIMA,MIRAFLORES,539.0,827.0,0.0,1
EPS EMAPAT,EMAPAT,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-03-12 11:30:00,11:30,2024-03-12 13:00:00,13:00,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,94.0,94.0,0.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-12 11:30:00,11:30,2024-03-12 15:00:00,15:00,AREQUIPA,AREQUIPA,PAUCARPATA,158.0,158.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-12 09:00:00,09:00,2024-03-12 23:00:00,23:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,991.0,1266.0,0.0,1
SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-09 10:00:00,10:00,2024-03-10 05:10:00,05:10,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,4058.0,4646.0,2.0,1
AGUA TUMBES,TUMBES,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-12 09:00:00,09:00,2024-03-13 20:00:00,20:00,TUMBES,TUMBES,LA CRUZ,1977.0,1977.0,1.0,1
EMAPISCO,EMAPISCO,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,2024-03-12 08:10:00,08:10,2024-03-12 11:50:00,11:50,ICA,PISCO,PISCO,3132.0,3.0,0.0,1
SEDAPAL ,BRENA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-12 07:40:00,07:40,2024-03-12 16:00:00,16:00,LIMA,LIMA,SAN MIGUEL,1327.0,2101.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-12 05:00:00,05:00,2024-03-12 10:30:00,10:30,LIMA,LIMA,SANTIAGO DE SURCO,28283.0,46317.0,0.0,1
SEDAPAL ,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-03-23 13:00:00,13:00,2024-03-23 21:00:00,21:00,LIMA,LIMA,LA MOLINA,3611.0,5268.0,0.0,1
SEDAPAL ,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-03-23 13:00:00,13:00,2024-03-23 21:00:00,21:00,LIMA,LIMA,ATE,639.0,895.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-12 00:30:00,00:30,2024-03-12 10:30:00,10:30,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,122.0,161.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-11 23:35:00,23:35,2024-03-12 08:00:00,08:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,149.0,172.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-11 23:30:00,23:30,2024-03-12 08:00:00,08:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,132.0,206.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-11 23:35:00,23:35,2024-03-12 08:00:00,08:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,8636.0,12233.0,0.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-11 21:40:00,21:40,2024-03-11 23:55:00,23:55,AREQUIPA,AREQUIPA,SOCABAYA,332.0,332.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-11 18:20:00,18:20,2024-03-12 02:00:00,02:00,LIMA,LIMA,VILLA EL SALVADOR,7154.0,10231.0,0.0,1
SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-11 15:25:00,15:25,2024-03-11 18:50:00,18:50,AYACUCHO,HUAMANGA,AYACUCHO,700.0,1.0,0.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-11 19:00:00,19:00,2024-03-11 22:30:00,22:30,AREQUIPA,AREQUIPA,JACOBO HUNTER,535.0,535.0,0.0,1
SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-09 22:55:00,22:55,2024-03-10 02:45:00,02:45,AYACUCHO,HUAMANGA,AYACUCHO,60.0,1.0,0.0,1
SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-03-09 10:55:00,10:55,2024-03-09 12:00:00,12:00,AYACUCHO,HUAMANGA,AYACUCHO,6.0,1.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-11 16:55:00,16:55,2024-03-12 03:00:00,03:00,LIMA,LIMA,SANTIAGO DE SURCO,5512.0,8759.0,0.0,1
SEDAPAR,SUR,PROGRAMADA,AGUA POTABLE,OTROS,2024-03-19 06:00:00,06:00,2024-03-21 06:30:00,06:30,AREQUIPA,ISLAY,MOLLENDO,9490.0,94885.0,12.0,1
SEDAPAR,SUR,PROGRAMADA,AGUA POTABLE,OTROS,2024-03-19 06:00:00,06:00,2024-03-21 06:30:00,06:30,AREQUIPA,ISLAY,ISLAY,1275.0,1270.0,2.0,1
SEDAPAL ,BRENA,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-04-04 10:00:00,10:00,2024-04-04 23:00:00,23:00,LIMA,LIMA,JESUS MARIA,152.0,163.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-11 14:50:00,14:50,2024-03-11 23:30:00,23:30,LIMA,LIMA,SAN JUAN DE MIRAFLORES,12669.0,18319.0,0.0,1
SEDAPAL ,BRENA,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-03-22 10:00:00,10:00,2024-03-22 23:00:00,23:00,LIMA,LIMA,PUEBLO LIBRE,596.0,621.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-03-11 11:20:00,11:20,2024-03-11 20:00:00,20:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,1746.0,2018.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-03-11 12:15:00,12:15,2024-03-11 20:00:00,20:00,LIMA,LIMA,VILLA EL SALVADOR,2289.0,3410.0,0.0,1
EPS SELVA CENTRAL,SELVA CENTRAL,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-11 09:00:00,09:00,2024-03-11 15:00:00,15:00,JUNIN,CHANCHAMAYO,SAN RAMON,600.0,600.0,0.0,1
EPS SELVA CENTRAL,SELVA CENTRAL,IMPREVISTA,AGUA POTABLE,LINEA DE ADUCCION,2024-03-11 09:00:00,09:00,2024-03-11 15:00:00,15:00,JUNIN,CHANCHAMAYO,SAN RAMON,900.0,900.0,0.0,1
EMAPISCO,EMAPISCO,PROGRAMADA,AGUA POTABLE,LINEA DE CONDUCCION DE AGUA CRUDA,2024-03-13 06:00:00,06:00,2024-03-13 15:00:00,15:00,ICA,PISCO,PISCO,17749.0,25.0,1.0,1
EMAPISCO,EMAPISCO,PROGRAMADA,AGUA POTABLE,LINEA DE CONDUCCION DE AGUA CRUDA,2024-03-13 06:00:00,06:00,2024-03-13 15:00:00,15:00,ICA,PISCO,PISCO,17749.0,25.0,0.0,1
SEDAPAL ,CALLAO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-03-19 12:00:00,12:00,2024-03-19 18:30:00,18:30,LIMA,LIMA,ANCON,2560.0,2573.0,0.0,1
EMAPA SAN MARTIN,SAN MARTIN,IMPREVISTA,AGUA POTABLE,LINEA DE CONDUCCION DE AGUA CRUDA,2024-03-09 04:00:00,04:00,2024-03-11 19:00:00,19:00,SAN MARTIN,SAN MARTIN,TARAPOTO,0.0,0.0,1.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-03-11 10:30:00,10:30,2024-03-11 13:00:00,13:00,CUSCO,CUSCO,SAN SEBASTIAN,100.0,100.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-11 09:30:00,09:30,2024-03-11 20:00:00,20:00,LIMA,LIMA,VILLA EL SALVADOR,73534.0,105231.0,0.0,1
EPSEL,EPSEL,IMPREVISTA,AGUA POTABLE,ROTURA DE LÍNEA DE IMPULSIÓN,2024-03-11 01:00:00,01:00,2024-03-11 17:00:00,17:00,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,30000.0,30000.0,0.0,1
EMAPA CAÑETE,EMAPA CAÑETE,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-11 09:00:00,09:00,2024-03-12 07:00:00,07:00,LIMA,CAÑETE,NUEVO IMPERIAL,942.0,942.0,4.0,1
SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-07 07:45:00,07:45,2024-03-07 14:10:00,14:10,LA LIBERTAD,TRUJILLO,TRUJILLO,3594.0,4193.0,0.0,1
EPS RIOJA,EPS RIOJA,IMPREVISTA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-03-07 15:00:00,15:00,2024-03-07 18:05:00,18:05,SAN MARTIN,RIOJA,RIOJA,450.0,450.0,0.0,1
EMAPA CAÑETE,EMAPA CAÑETE,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-09 13:30:00,13:30,2024-03-11 10:00:00,10:00,LIMA,CAÑETE,NUEVO IMPERIAL,942.0,942.0,4.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-11 08:20:00,08:20,2024-03-11 12:00:00,12:00,CUSCO,CUSCO,CUSCO,100.0,100.0,0.0,1
SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-03-07 16:00:00,16:00,2024-03-07 23:10:00,23:10,LA LIBERTAD,TRUJILLO,TRUJILLO,23742.0,23742.0,0.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-11 08:00:00,08:00,2024-03-11 12:30:00,12:30,AREQUIPA,AREQUIPA,CERRO COLORADO,400.0,400.0,0.0,1
EMUSAP ABANCAY,EMUSAP ABANCAY,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-11 09:00:00,09:00,2024-03-11 12:10:00,12:10,APURIMAC,ABANCAY,ABANCAY,10000.0,10000.0,0.0,1
EMUSAP ABANCAY,EMUSAP ABANCAY,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-10 09:00:00,09:00,2024-03-10 12:10:00,12:10,APURIMAC,ABANCAY,ABANCAY,10000.0,10000.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,2024-03-11 08:00:00,08:00,2024-03-11 14:00:00,14:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,3791.0,5117.0,0.0,1
SEDAPAL ,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-11 07:50:00,07:50,2024-03-11 15:05:00,15:05,LIMA,LIMA,PUENTE PIEDRA,378.0,414.0,0.0,1
SEDAPAL ,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-03-22 13:00:00,13:00,2024-03-22 21:00:00,21:00,LIMA,LIMA,ATE,355.0,389.0,0.0,1
SEDAPAL ,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-03-22 13:00:00,13:00,2024-03-22 21:00:00,21:00,LIMA,LIMA,ATE,594.0,712.0,0.0,1
SEDAPAL ,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-03-22 14:00:00,14:00,2024-03-22 22:00:00,22:00,LIMA,LIMA,ATE,386.0,396.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-10 20:15:00,20:15,2024-03-11 04:15:00,04:15,LIMA,LIMA,SANTIAGO DE SURCO,1914.0,2708.0,0.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-10 17:40:00,17:40,2024-03-10 21:10:00,21:10,AREQUIPA,AREQUIPA,MARIANO MELGAR,498.0,498.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-10 15:30:00,15:30,2024-03-10 21:15:00,21:15,LIMA,LIMA,SAN BORJA,3409.0,3775.0,0.0,1
SEDAPAL ,BRENA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-10 14:25:00,14:25,2024-03-10 22:00:00,22:00,LIMA,LIMA,LIMA,3612.0,5216.0,0.0,1
SEDAPAL ,SJL,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-10 12:00:00,12:00,2024-03-10 18:00:00,18:00,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1580.0,1580.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-10 10:55:00,10:55,2024-03-10 14:00:00,14:00,CUSCO,CUSCO,CUSCO,100.0,100.0,0.0,1
SEDAPAL ,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-10 10:35:00,10:35,2024-03-10 18:00:00,18:00,LIMA,LIMA,LIMA,21622.0,32036.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-10 09:30:00,09:30,2024-03-10 15:30:00,15:30,LIMA,LIMA,SANTIAGO DE SURCO,1914.0,2708.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-10 07:25:00,07:25,2024-03-10 16:00:00,16:00,LIMA,LIMA,VILLA EL SALVADOR,73534.0,105231.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-10 07:15:00,07:15,2024-03-10 14:00:00,14:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,12633.0,17732.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-10 07:15:00,07:15,2024-03-10 13:00:00,13:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,14099.0,19700.0,0.0,1
EMUSAP ABANCAY,EMUSAP ABANCAY,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-09 09:30:00,09:30,2024-03-09 11:05:00,11:05,APURIMAC,ABANCAY,ABANCAY,4000.0,4000.0,0.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-09 20:30:00,20:30,2024-03-09 23:55:00,23:55,AREQUIPA,AREQUIPA,SOCABAYA,553.0,553.0,0.0,1
SEDAPAL ,CALLAO,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,2024-03-09 19:10:00,19:10,2024-03-09 23:35:00,23:35,CALLAO,CALLAO,CALLAO,876.0,1193.0,0.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-09 16:30:00,16:30,2024-03-09 20:00:00,20:00,AREQUIPA,AREQUIPA,AREQUIPA,156.0,156.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-09 13:30:00,13:30,2024-03-09 23:00:00,23:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,6695.0,9874.0,0.0,1
SEDAPAL ,ATE,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,2024-03-09 15:20:00,15:20,2024-03-09 22:20:00,22:20,LIMA,LIMA,CHACLACAYO,3368.0,3845.0,0.0,1
SEDAPAL ,BRENA,IMPREVISTA,AGUA POTABLE,CORTE DE SERVICIO DE ELECTRICIDAD,2024-03-09 14:50:00,14:50,2024-03-09 20:00:00,20:00,LIMA,LIMA,LIMA,70390.0,98456.0,0.0,1
SEDAPAL ,ATE,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-09 14:10:00,14:10,2024-03-09 21:10:00,21:10,LIMA,LIMA,LURIGANCHO,1782.0,1836.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-09 11:30:00,11:30,2024-03-09 23:00:00,23:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,288.0,4148.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-09 12:00:00,12:00,2024-03-09 16:00:00,16:00,CUSCO,CUSCO,CUSCO,100.0,100.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-09 13:00:00,13:00,2024-03-09 18:30:00,18:30,LIMA,LIMA,MIRAFLORES,9424.0,14992.0,0.0,1
EPS GRAU,TALARA,PROGRAMADA,AGUA POTABLE,CORTE DE SERVICIO DE ELECTRICIDAD,2024-03-10 07:30:00,07:30,2024-03-10 17:30:00,17:30,PIURA,TALARA,PARIÑAS,8136.0,0.0,0.0,1
SEDAPAL ,BRENA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-09 09:25:00,09:25,2024-03-09 18:00:00,18:00,LIMA,LIMA,LIMA,8088.0,12229.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-09 08:30:00,08:30,2024-03-09 12:00:00,12:00,CUSCO,CUSCO,SAN JERONIMO,100.0,100.0,0.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-09 03:00:00,03:00,2024-03-09 12:30:00,12:30,AREQUIPA,AREQUIPA,CERRO COLORADO,819.0,819.0,0.0,1
EMAPA PASCO,EMAPA PASCO,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-09 06:00:00,06:00,2024-03-11 06:00:00,06:00,PASCO,PASCO,YANACANCHA,300.0,300.0,1.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-09 07:20:00,07:20,2024-03-09 14:00:00,14:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,8636.0,12233.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-09 07:15:00,07:15,2024-03-09 14:00:00,14:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,1611.0,2039.0,0.0,1
EPS SEMAPACH,SEMAPACH,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-08 01:30:00,01:30,2024-03-08 18:50:00,18:50,ICA,CHINCHA,CHINCHA ALTA,10000.0,0.0,0.0,1
EPS SEMAPACH,SEMAPACH,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-08 01:30:00,01:30,2024-03-08 18:50:00,18:50,ICA,CHINCHA,SUNAMPE,1000.0,0.0,0.0,1
EPS SEMAPACH,SEMAPACH,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-08 01:30:00,01:30,2024-03-08 18:50:00,18:50,ICA,CHINCHA,GROCIO PRADO,1000.0,0.0,0.0,1
EPS SEMAPACH,SEMAPACH,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-08 01:30:00,01:30,2024-03-08 18:50:00,18:50,ICA,CHINCHA,PUEBLO NUEVO,10000.0,0.0,0.0,1
SEDAPAL ,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-03-21 14:00:00,14:00,2024-03-21 22:00:00,22:00,LIMA,LIMA,ATE,182.0,196.0,0.0,1
SEDAPAL ,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-03-21 14:00:00,14:00,2024-03-21 22:00:00,22:00,LIMA,LIMA,ATE,1296.0,1473.0,0.0,1
EMUSAP ABANCAY,EMUSAP ABANCAY,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-08 09:30:00,09:30,2024-03-08 12:05:00,12:05,APURIMAC,ABANCAY,ABANCAY,4000.0,4000.0,0.0,1
EMUSAP ABANCAY,EMUSAP ABANCAY,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-07 07:30:00,07:30,2024-03-07 17:05:00,17:05,APURIMAC,ABANCAY,ABANCAY,21000.0,21000.0,0.0,1
SEDAPAL ,ATE,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-08 21:00:00,21:00,2024-03-08 23:55:00,23:55,LIMA,LIMA,EL AGUSTINO,2320.0,3684.0,0.0,1
SEDAPAL ,CALLAO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-03-08 19:45:00,19:45,2024-03-09 01:30:00,01:30,CALLAO,CALLAO,CALLAO,5937.0,8419.0,0.0,1
SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-07 18:15:00,18:15,2024-03-07 22:00:00,22:00,AYACUCHO,HUAMANGA,AYACUCHO,80.0,1.0,0.0,1
SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,OTROS,2024-03-07 18:20:00,18:20,2024-03-08 12:30:00,12:30,AYACUCHO,HUAMANGA,AYACUCHO,80.0,1.0,0.0,1
SEDAPAL ,BRENA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-03-08 17:45:00,17:45,2024-03-08 23:55:00,23:55,LIMA,LIMA,LA VICTORIA,1703.0,1789.0,0.0,1
SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-08 11:45:00,11:45,2024-03-08 14:15:00,14:15,AYACUCHO,HUAMANGA,JESUS NAZARENO,130.0,1.0,0.0,1
SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-03-07 18:30:00,18:30,2024-03-07 23:30:00,23:30,AYACUCHO,HUAMANGA,AYACUCHO,100.0,1.0,0.0,1
